seccion_id,votante,cantidad,tipo,concepto,cantidad_str
53,No Votantes,618.0,1,VotoBlando,618
61,No Votantes,701.0,1,VotoBlando,701
70,No Votantes,353.0,1,VotoBlando,353
76,No Votantes,4.0,1,VotoBlando,4
79,No Votantes,741.0,1,VotoBlando,741
105,No Votantes,254.0,1,VotoBlando,254
111,No Votantes,1.0,1,VotoBlando,1
1,No Votantes,75.0,2,VotoBlando,75
2,No Votantes,27.0,2,VotoBlando,27
3,No Votantes,1277.0,2,VotoBlando,"1,277"
4,No Votantes,847.0,2,VotoBlando,847
5,No Votantes,126.0,2,VotoBlando,126
6,No Votantes,417.0,2,VotoBlando,417
7,No Votantes,1731.0,2,VotoBlando,"1,731"
8,No Votantes,280.0,2,VotoBlando,280
9,No Votantes,206.0,2,VotoBlando,206
10,No Votantes,169.0,2,VotoBlando,169
11,No Votantes,983.0,2,VotoBlando,983
12,No Votantes,257.0,2,VotoBlando,257
13,No Votantes,170.0,2,VotoBlando,170
14,No Votantes,128.0,2,VotoBlando,128
15,No Votantes,95.0,2,VotoBlando,95
16,No Votantes,652.0,2,VotoBlando,652
17,No Votantes,329.0,2,VotoBlando,329
18,No Votantes,125.0,2,VotoBlando,125
19,No Votantes,150.0,2,VotoBlando,150
20,No Votantes,40.0,2,VotoBlando,40
21,No Votantes,114.0,2,VotoBlando,114
22,No Votantes,99.0,2,VotoBlando,99
23,No Votantes,30.0,2,VotoBlando,30
24,No Votantes,129.0,2,VotoBlando,129
25,No Votantes,30.0,2,VotoBlando,30
26,No Votantes,146.0,2,VotoBlando,146
27,No Votantes,444.0,2,VotoBlando,444
28,No Votantes,150.0,2,VotoBlando,150
29,No Votantes,219.0,2,VotoBlando,219
30,No Votantes,324.0,2,VotoBlando,324
31,No Votantes,120.0,2,VotoBlando,120
32,No Votantes,90.0,2,VotoBlando,90
33,No Votantes,119.0,2,VotoBlando,119
34,No Votantes,138.0,2,VotoBlando,138
35,No Votantes,1328.0,2,VotoBlando,"1,328"
36,No Votantes,586.0,2,VotoBlando,586
37,No Votantes,187.0,2,VotoBlando,187
38,No Votantes,2213.0,2,VotoBlando,"2,213"
39,No Votantes,251.0,2,VotoBlando,251
40,No Votantes,92.0,2,VotoBlando,92
41,No Votantes,28.0,2,VotoBlando,28
42,No Votantes,199.0,2,VotoBlando,199
43,No Votantes,24.0,2,VotoBlando,24
44,No Votantes,106.0,2,VotoBlando,106
45,No Votantes,27.0,2,VotoBlando,27
46,No Votantes,27.0,2,VotoBlando,27
47,No Votantes,181.0,2,VotoBlando,181
48,No Votantes,31.0,2,VotoBlando,31
49,No Votantes,24.0,2,VotoBlando,24
50,No Votantes,2354.0,2,VotoBlando,"2,354"
51,No Votantes,452.0,2,VotoBlando,452
52,No Votantes,1219.0,2,VotoBlando,"1,219"
53,No Votantes,3002.0,2,VotoBlando,"3,002"
54,No Votantes,98.0,2,VotoBlando,98
55,No Votantes,260.0,2,VotoBlando,260
56,No Votantes,97.0,2,VotoBlando,97
57,No Votantes,30.0,2,VotoBlando,30
58,No Votantes,58.0,2,VotoBlando,58
59,No Votantes,143.0,2,VotoBlando,143
60,No Votantes,452.0,2,VotoBlando,452
61,No Votantes,4857.0,2,VotoBlando,"4,857"
62,No Votantes,1368.0,2,VotoBlando,"1,368"
63,No Votantes,2655.0,2,VotoBlando,"2,655"
64,No Votantes,21.0,2,VotoBlando,21
65,No Votantes,42.0,2,VotoBlando,42
66,No Votantes,62.0,2,VotoBlando,62
67,No Votantes,179.0,2,VotoBlando,179
68,No Votantes,109.0,2,VotoBlando,109
69,No Votantes,219.0,2,VotoBlando,219
70,No Votantes,1785.0,2,VotoBlando,"1,785"
71,No Votantes,526.0,2,VotoBlando,526
72,No Votantes,85.0,2,VotoBlando,85
73,No Votantes,33.0,2,VotoBlando,33
74,No Votantes,76.0,2,VotoBlando,76
75,No Votantes,288.0,2,VotoBlando,288
76,No Votantes,363.0,2,VotoBlando,363
77,No Votantes,3084.0,2,VotoBlando,"3,084"
78,No Votantes,146.0,2,VotoBlando,146
79,No Votantes,3034.0,2,VotoBlando,"3,034"
80,No Votantes,760.0,2,VotoBlando,760
81,No Votantes,72.0,2,VotoBlando,72
82,No Votantes,775.0,2,VotoBlando,775
83,No Votantes,440.0,2,VotoBlando,440
84,No Votantes,423.0,2,VotoBlando,423
85,No Votantes,222.0,2,VotoBlando,222
86,No Votantes,59.0,2,VotoBlando,59
87,No Votantes,536.0,2,VotoBlando,536
88,No Votantes,18.0,2,VotoBlando,18
89,No Votantes,1870.0,2,VotoBlando,"1,870"
90,No Votantes,278.0,2,VotoBlando,278
91,No Votantes,64.0,2,VotoBlando,64
92,No Votantes,1916.0,2,VotoBlando,"1,916"
93,No Votantes,212.0,2,VotoBlando,212
94,No Votantes,65.0,2,VotoBlando,65
95,No Votantes,76.0,2,VotoBlando,76
96,No Votantes,122.0,2,VotoBlando,122
97,No Votantes,81.0,2,VotoBlando,81
98,No Votantes,157.0,2,VotoBlando,157
99,No Votantes,221.0,2,VotoBlando,221
100,No Votantes,36.0,2,VotoBlando,36
101,No Votantes,273.0,2,VotoBlando,273
102,No Votantes,140.0,2,VotoBlando,140
103,No Votantes,119.0,2,VotoBlando,119
104,No Votantes,46.0,2,VotoBlando,46
105,No Votantes,742.0,2,VotoBlando,742
106,No Votantes,1100.0,2,VotoBlando,"1,100"
107,No Votantes,791.0,2,VotoBlando,791
108,No Votantes,513.0,2,VotoBlando,513
109,No Votantes,312.0,2,VotoBlando,312
110,No Votantes,28.0,2,VotoBlando,28
111,No Votantes,912.0,2,VotoBlando,912
112,No Votantes,6.0,2,VotoBlando,6
113,No Votantes,2509.0,2,VotoBlando,"2,509"
114,No Votantes,71.0,2,VotoBlando,71
115,No Votantes,344.0,2,VotoBlando,344
116,No Votantes,8.0,2,VotoBlando,8
117,No Votantes,205.0,2,VotoBlando,205
118,No Votantes,1072.0,2,VotoBlando,"1,072"
119,No Votantes,418.0,2,VotoBlando,418
120,No Votantes,29.0,2,VotoBlando,29
121,No Votantes,183.0,2,VotoBlando,183
122,No Votantes,710.0,2,VotoBlando,710
123,No Votantes,154.0,2,VotoBlando,154
124,No Votantes,330.0,2,VotoBlando,330
125,No Votantes,490.0,2,VotoBlando,490
126,No Votantes,41.0,2,VotoBlando,41
127,No Votantes,55.0,2,VotoBlando,55
128,No Votantes,154.0,2,VotoBlando,154
129,No Votantes,1258.0,2,VotoBlando,"1,258"
130,No Votantes,1850.0,2,VotoBlando,"1,850"
131,No Votantes,37.0,2,VotoBlando,37
132,No Votantes,926.0,2,VotoBlando,926
133,No Votantes,628.0,2,VotoBlando,628
134,No Votantes,824.0,2,VotoBlando,824
135,No Votantes,26.0,2,VotoBlando,26
